"동별(1)",동별(2),동별(3),2023. 04,2023. 04,2023. 04,2023. 04,2023. 04,2023. 04,2023. 04,2023. 04,2023. 04,2023. 04
"동별(1)",동별(2),동별(3),세대 (세대),합계 (명),합계 (명),합계 (명),한국인 (명),한국인 (명),한국인 (명),외국인 (명),외국인 (명),외국인 (명)
"동별(1)",동별(2),동별(3),소계,소계,남자,여자,소계,남자,여자,소계,남자,여자
"합계",광진구,중곡2동,10648,21156,9938,11218,20817,9804,11013,339,134,205
"합계",광진구,중곡3동,8556,16165,7958,8207,15920,7863,8057,245,95,150
"합계",광진구,중곡4동,13126,28244,13753,14491,27874,13615,14259,370,138,232
"합계",광진구,능동,6441,11568,5321,6247,11163,5124,6039,405,197,208
"합계",광진구,구의1동,13103,24036,11424,12612,23364,11155,12209,672,269,403
"합계",광진구,구의2동,11510,26412,12611,13801,25857,12380,13477,555,231,324
"합계",광진구,구의3동,12094,28368,13360,15008,28128,13260,14868,240,100,140
"합계",광진구,광장동,11818,34257,16570,17687,34062,16482,17580,195,88,107
"합계",광진구,자양1동,12066,22931,11120,11811,22089,10761,11328,842,359,483
"합계",광진구,자양2동,10823,24054,11654,12400,23743,11519,12224,311,135,176
"합계",광진구,자양3동,10998,27787,13276,14511,27465,13136,14329,322,140,182
"합계",광진구,자양4동,10267,21352,10462,10890,17976,8957,9019,3376,1505,1871
"합계",동대문구,소계,171288,355244,172196,183048,337692,165936,171756,17552,6260,11292
"합계",동대문구,회기동,6740,13637,6106,7531,10496,4998,5498,3141,1108,2033
"합계",동대문구,휘경1동,7836,16318,7343,8975,13963,6577,7386,2355,766,1589
"합계",동대문구,휘경2동,12804,25377,12497,12880,24493,12190,12303,884,307,577
"합계",동대문구,청량리동,9906,19261,9500,9761,18739,9299,9440,522,201,321
"합계",동대문구,용신동,20574,37027,18102,18925,35393,17539,17854,1634,563,1071
"합계",동대문구,제기동,13468,26430,13158,13272,24104,12340,11764,2326,818,1508
"합계",동대문구,전농1동,14846,29352,14509,14843,28734,14281,14453,618,228,390
"합계",동대문구,전농2동,7564,18611,8839,9772,18121,8680,9441,490,159,331
"합계",동대문구,답십리2동,12522,27960,13514,14446,27699,13394,14305,261,120,141
"합계",동대문구,장안1동,18446,38531,18972,19559,37893,18720,19173,638,252,386
"합계",동대문구,장안2동,14235,32747,16184,16563,32449,16077,16372,298,107,191
"합계",동대문구,이문1동,10782,21440,10125,11315,17968,8912,9056,3472,1213,2259
"합계",동대문구,이문2동,8704,20075,9631,10444,19573,9405,10168,502,226,276
"합계",동대문구,답십리1동,12861,28478,13716,14762,28067,13524,14543,411,192,219
"합계",중랑구,소계,187977,389815,191046,198769,384867,189099,195768,4948,1947,3001
"합계",중랑구,면목2동,12234,24155,11987,12168,23786,11841,11945,369,146,223
"합계",중랑구,면목4동,8949,18643,9247,9396,18357,9131,9226,286,116,170
"합계",중랑구,면목5동,6454,14801,7385,7416,14681,7347,7334,120,38,82
"합계",중랑구,면목7동,10619,21769,10834,10935,21433,10707,10726,336,127,209
