"동별(1)",동별(2),동별(3),2023. 04,2023. 04,2023. 04,2023. 04,2023. 04,2023. 04,2023. 04,2023. 04,2023. 04,2023. 04
"동별(1)",동별(2),동별(3),세대 (세대),합계 (명),합계 (명),합계 (명),한국인 (명),한국인 (명),한국인 (명),외국인 (명),외국인 (명),외국인 (명)
"동별(1)",동별(2),동별(3),소계,소계,남자,여자,소계,남자,여자,소계,남자,여자
"합계",금천구,독산4동,7656,16388,8236,8152,14829,7452,7377,1559,784,775
"합계",금천구,시흥1동,16314,33930,16897,17033,32326,16080,16246,1604,817,787
"합계",금천구,시흥2동,8231,20749,9917,10832,20634,9866,10768,115,51,64
"합계",금천구,시흥3동,4672,10588,5237,5351,10435,5169,5266,153,68,85
"합계",금천구,시흥4동,9163,20479,10120,10359,19833,9807,10026,646,313,333
"합계",금천구,시흥5동,9287,19123,9579,9544,18567,9309,9258,556,270,286
"합계",영등포구,소계,190393,398975,196460,202515,376423,184827,191596,22552,11633,10919
"합계",영등포구,여의동,13313,32884,15454,17430,32500,15258,17242,384,196,188
"합계",영등포구,당산1동,11428,21203,10268,10935,20826,10110,10716,377,158,219
"합계",영등포구,당산2동,18910,37160,17344,19816,36745,17165,19580,415,179,236
"합계",영등포구,양평1동,9921,18575,8961,9614,18299,8858,9441,276,103,173
"합계",영등포구,양평2동,10979,22658,10990,11668,22451,10910,11541,207,80,127
"합계",영등포구,신길1동,11597,20759,10496,10263,19426,9817,9609,1333,679,654
"합계",영등포구,신길3동,7604,17222,8521,8701,16272,8019,8253,950,502,448
"합계",영등포구,신길4동,5799,13058,6487,6571,12334,6110,6224,724,377,347
"합계",영등포구,신길5동,4659,11123,5417,5706,10172,4929,5243,951,488,463
"합계",영등포구,신길6동,9120,19320,9428,9892,18635,9091,9544,685,337,348
"합계",영등포구,신길7동,7884,19992,9969,10023,19808,9880,9928,184,89,95
"합계",영등포구,대림1동,7003,16387,8274,8113,14030,6984,7046,2357,1290,1067
"합계",영등포구,대림2동,7012,17607,8943,8664,11922,5847,6075,5685,3096,2589
"합계",영등포구,대림3동,10420,25213,12673,12540,21860,10914,10946,3353,1759,1594
"합계",영등포구,영등포본동,10396,22634,11615,11019,20922,10740,10182,1712,875,837
"합계",영등포구,영등포동,21635,31089,15906,15183,30293,15552,14741,796,354,442
"합계",영등포구,도림동,9589,19673,9905,9768,17726,8937,8789,1947,968,979
"합계",영등포구,문래동,13124,32418,15809,16609,32202,15706,16496,216,103,113
"합계",동작구,소계,186730,390570,188213,202357,380385,184072,196313,10185,4141,6044
"합계",동작구,노량진2동,6895,11288,5886,5402,10523,5485,5038,765,401,364
"합계",동작구,상도1동,22638,46461,22276,24185,44373,21551,22822,2088,725,1363
"합계",동작구,상도2동,12563,27975,13382,14593,27668,13269,14399,307,113,194
"합계",동작구,상도3동,12257,24528,11647,12881,24156,11483,12673,372,164,208
"합계",동작구,상도4동,14177,28455,13786,14669,28103,13669,14434,352,117,235
"합계",동작구,사당1동,13720,22984,11030,11954,22523,10840,11683,461,190,271
"합계",동작구,사당3동,10520,24105,11648,12457,23913,11566,12347,192,82,110
"합계",동작구,사당4동,7287,14099,6700,7399,13924,6626,7298,175,74,101
"합계",동작구,사당5동,6726,14380,6876,7504,14276,6826,7450,104,50,54
"합계",동작구,대방동,16743,36261,17126,19135,35941,16972,18969,320,154,166
"합계",동작구,신대방1동,10471,25151,12113,13038,23373,11209,12164,1778,904,874
"합계",동작구,신대방2동,10692,22416,10692,11724,22175,10601,11574,241,91,150
"합계",동작구,흑석동,12819,31378,14974,16404,29211,14264,14947,2167,710,1457
"합계",동작구,노량진1동,16628,32399,16337,16062,31878,16132,15746,521,205,316
"합계",동작구,사당2동,12594,28690,13740,14950,28348,13579,14769,342,161,181
"합계",관악구,소계,286127,502699,251264,251435,487641,245231,242410,15058,6033,9025
"합계",관악구,보라매동,13132,24625,12127,12498,24179,11926,12253,446,201,245
"합계",관악구,청림동,6445,14995,7237,7758,14899,7201,7698,96,36,60
"합계",관악구,행운동,18330,29688,14309,15379,29180,14146,15034,508,163,345
"합계",관악구,낙성대동,12027,18014,8978,9036,17464,8762,8702,550,216,334
"합계",관악구,중앙동,10275,15788,7582,8206,15406,7453,7953,382,129,253
"합계",관악구,인헌동,14850,26101,12579,13522,25720,12434,13286,381,145,236
"합계",관악구,남현동,9887,18102,8762,9340,17895,8682,9213,207,80,127
"합계",관악구,서원동,14930,23631,12287,11344,22893,11993,10900,738,294,444
"합계",관악구,신원동,11388,18659,9385,9274,17866,9067,8799,793,318,475
"합계",관악구,서림동,15284,24684,13548,11136,23641,13191,10450,1043,357,686
"합계",관악구,신사동,14598,24818,12342,12476,22721,11347,11374,2097,995,1102
"합계",관악구,신림동,19196,24211,12621,11590,23350,12319,11031,861,302,559
"합계",관악구,난향동,6176,14974,7340,7634,14848,7271,7577,126,69,57
"합계",관악구,조원동,12193,20969,10428,10541,19575,9758,9817,1394,670,724
"합계",관악구,대학동,17487,26993,15794,11199,24468,14913,9555,2525,881,1644
"합계",관악구,은천동,16131,33137,16164,16973,32656,15983,16673,481,181,300
"합계",관악구,성현동,12256,28730,13817,14913,28535,13741,14794,195,76,119
"합계",관악구,청룡동,24355,37231,17724,19507,36145,17312,18833,1086,412,674
"합계",관악구,난곡동,12984,26352,13134,13218,25901,12948,12953,451,186,265
"합계",관악구,삼성동,9790,20451,10157,10294,20318,10105,10213,133,52,81
"합계",관악구,미성동,14413,30546,14949,15597,29981,14679,15302,565,270,295
"합계",서초구,소계,168238,408758,194958,213800,404539,192932,211607,4219,2026,2193
"합계",서초구,서초1동,9451,20494,9853,10641,20310,9773,10537,184,80,104
"합계",서초구,서초2동,11801,27056,12840,14216,26620,12605,14015,436,235,201
"합계",서초구,서초3동,15283,32435,15357,17078,32086,15214,16872,349,143,206
"합계",서초구,서초4동,10676,30531,14912,15619,30264,14780,15484,267,132,135
"합계",서초구,잠원동,10487,26369,12681,13688,26183,12594,13589,186,87,99
"합계",서초구,반포본동,132,282,139,143,266,128,138,16,11,5
"합계",서초구,반포1동,14842,34561,16842,17719,34195,16690,17505,366,152,214
"합계",서초구,반포2동,4988,15743,7463,8280,15635,7415,8220,108,48,60
"합계",서초구,반포3동,8179,23873,11360,12513,23813,11332,12481,60,28,32
"합계",서초구,반포4동,7046,19409,9172,10237,18684,8773,9911,725,399,326
"합계",서초구,방배본동,7913,20658,9534,11124,20485,9441,11044,173,93,80
"합계",서초구,방배1동,7493,16800,7833,8967,16652,7768,8884,148,65,83
"합계",서초구,방배2동,7956,18394,8607,9787,18277,8543,9734,117,64,53
"합계",서초구,방배3동,6331,17173,8226,8947,17055,8176,8879,118,50,68
"합계",서초구,방배4동,9600,23327,10626,12701,22999,10480,12519,328,146,182
"합계",서초구,양재1동,17846,42585,20225,22360,42236,20070,22166,349,155,194
"합계",서초구,양재2동,10997,21669,10877,10792,21441,10768,10673,228,109,119
"합계",서초구,내곡동,7217,17399,8411,8988,17338,8382,8956,61,29,32
"합계",강남구,소계,235708,539742,257993,281749,534646,255637,279009,5096,2356,2740
"합계",강남구,신사동,6831,15794,7354,8440,15551,7233,8318,243,121,122
"합계",강남구,개포3동,7399,17177,8326,8851,17109,8294,8815,68,32,36
"합계",강남구,논현1동,13708,22051,10336,11715,21371,10072,11299,680,264,416
"합계",강남구,논현2동,11362,21010,9782,11228,20676,9627,11049,334,155,179
"합계",강남구,삼성1동,5341,12669,6238,6431,12425,6079,6346,244,159,85
"합계",강남구,삼성2동,13644,30871,14826,16045,30624,14700,15924,247,126,121
"합계",강남구,대치1동,7197,23766,11926,11840,23721,11902,11819,45,24,21
"합계",강남구,대치4동,9816,19156,9054,10102,18881,8956,9925,275,98,177
"합계",강남구,역삼1동,23654,35418,17202,18216,34302,16720,17582,1116,482,634
"합계",강남구,역삼2동,15873,37274,17426,19848,36935,17267,19668,339,159,180
"합계",강남구,도곡1동,8277,20840,9899,10941,20705,9831,10874,135,68,67
"합계",강남구,도곡2동,11473,32717,15199,17518,32619,15142,17477,98,57,41
"합계",강남구,개포1동,2631,6910,3334,3576,6890,3325,3565,20,9,11
"합계",강남구,개포4동,10082,23634,11360,12274,23457,11289,12168,177,71,106
"합계",강남구,일원본동,7992,22865,11310,11555,22842,11299,11543,23,11,12
"합계",강남구,일원1동,7459,14847,7175,7672,14708,7128,7580,139,47,92
"합계",강남구,수서동,7690,14233,6415,7818,14175,6396,7779,58,19,39
"합계",강남구,세곡동,18686,44130,20700,23430,43954,20618,23336,176,82,94
"합계",강남구,압구정동,10035,25790,11935,13855,25633,11852,13781,157,83,74
"합계",강남구,청담동,11017,25382,11909,13473,25124,11766,13358,258,143,115
"합계",강남구,대치2동,12908,37002,18742,18260,36841,18641,18200,161,101,60
"합계",강남구,개포2동,12633,36206,17545,18661,36103,17500,18603,103,45,58
"합계",송파구,소계,285493,663367,318928,344439,657665,316356,341309,5702,2572,3130
"합계",송파구,풍납1동,5748,12697,6247,6450,12179,5983,6196,518,264,254
"합계",송파구,풍납2동,10830,24274,11483,12791,24074,11396,12678,200,87,113
"합계",송파구,거여1동,5574,12208,6117,6091,12133,6094,6039,75,23,52
"합계",송파구,거여2동,10077,23751,11566,12185,23666,11527,12139,85,39,46
"합계",송파구,마천1동,8695,18530,9486,9044,18387,9436,8951,143,50,93
"합계",송파구,마천2동,8559,18017,9211,8806,17859,9143,8716,158,68,90
"합계",송파구,방이1동,6109,15330,7407,7923,15238,7367,7871,92,40,52
"합계",송파구,방이2동,15336,26506,12124,14382,25965,11889,14076,541,235,306
"합계",송파구,오륜동,5886,17770,8683,9087,17751,8671,9080,19,12,7
"합계",송파구,오금동,15592,37909,18387,19522,37664,18266,19398,245,121,124
"합계",송파구,송파1동,12421,23855,11132,12723,23535,10977,12558,320,155,165
"합계",송파구,송파2동,7177,18858,9081,9777,18722,9011,9711,136,70,66
"합계",송파구,석촌동,16984,31559,14940,16619,31019,14704,16315,540,236,304
"합계",송파구,삼전동,15992,29673,13761,15912,29296,13615,15681,377,146,231
"합계",송파구,가락본동,11646,25722,12726,12996,25448,12601,12847,274,125,149
"합계",송파구,가락1동,9888,27732,13454,14278,27558,13369,14189,174,85,89
"합계",송파구,가락2동,12355,31587,15407,16180,31412,15329,16083,175,78,97
"합계",송파구,문정1동,8450,19789,9741,10048,19621,9661,9960,168,80,88
"합계",송파구,문정2동,15767,28855,13209,15646,28670,13138,15532,185,71,114
"합계",송파구,잠실본동,15934,28343,13489,14854,27820,13261,14559,523,228,295
"합계",송파구,잠실4동,7217,21284,10247,11037,21218,10215,11003,66,32,34
"합계",송파구,잠실6동,5830,16657,7914,8743,16511,7827,8684,146,87,59
"합계",송파구,잠실7동,3369,9419,4382,5037,9405,4376,5029,14,6,8
"합계",송파구,잠실2동,11551,35095,16774,18321,34988,16708,18280,107,66,41
"합계",송파구,잠실3동,11830,34135,16189,17946,34002,16124,17878,133,65,68
"합계",송파구,장지동,12103,29037,13981,15056,28875,13915,14960,162,66,96
"합계",송파구,위례동,14573,44775,21790,22985,44649,21753,22896,126,37,89
"합계",강동구,소계,202623,463620,226713,236907,459567,224899,234668,4053,1814,2239
"합계",강동구,강일동,13112,33047,15804,17243,32855,15746,17109,192,58,134
"합계",강동구,명일1동,10034,25569,12447,13122,25472,12414,13058,97,33,64
"합계",강동구,명일2동,6500,17268,8397,8871,17211,8377,8834,57,20,37
"합계",강동구,고덕1동,8109,23960,12207,11753,23856,12138,11718,104,69,35
"합계",강동구,고덕2동,8955,22901,11562,11339,22739,11460,11279,162,102,60
"합계",강동구,암사2동,6384,15027,7264,7763,14957,7234,7723,70,30,40
"합계",강동구,암사3동,6196,17486,8543,8943,17441,8525,8916,45,18,27
"합계",강동구,천호1동,12977,26573,13047,13526,26310,12939,13371,263,108,155
"합계",강동구,천호3동,14463,26739,12943,13796,26248,12691,13557,491,252,239
"합계",강동구,성내1동,8241,19760,9470,10290,19611,9408,10203,149,62,87
"합계",강동구,성내2동,12680,23360,11500,11860,22816,11238,11578,544,262,282
"합계",강동구,성내3동,10615,22936,11199,11737,22624,11074,11550,312,125,187
"합계",강동구,둔촌1동,39,73,39,34,64,35,29,9,4,5
"합계",강동구,둔촌2동,10301,24199,11885,12314,24096,11840,12256,103,45,58
"합계",강동구,암사1동,16063,34312,16934,17378,34020,16820,17200,292,114,178
"합계",강동구,천호2동,17587,33832,16538,17294,33206,16244,16962,626,294,332
"합계",강동구,길동,21903,45144,21971,23173,44809,21837,22972,335,134,201
"합계",강동구,상일1동,13610,39437,19374,20063,39290,19310,19980,147,64,83
"합계",강동구,상일2동,4854,11997,5589,6408,11942,5569,6373,55,20,35
